治れる	動詞,自立,*,*,一段,基本形,治れる,ナオレル,ナオレル
治れ	動詞,自立,*,*,一段,未然形,治れる,ナオレ,ナオレ
治れ	動詞,自立,*,*,一段,連用形,治れる,ナオレ,ナオレ
治れれ	動詞,自立,*,*,一段,仮定形,治れる,ナオレレ,ナオレレ
治れりゃ	動詞,自立,*,*,一段,仮定縮約１,治れる,ナオレリャ,ナオレリャ
携われる	動詞,自立,*,*,一段,基本形,携われる,タズサワレル,タズサワレル
携われ	動詞,自立,*,*,一段,未然形,携われる,タズサワレ,タズサワレ
携われ	動詞,自立,*,*,一段,連用形,携われる,タズサワレ,タズサワレ
携われれ	動詞,自立,*,*,一段,仮定形,携われる,タズサワレレ,タズサワレレ
携われりゃ	動詞,自立,*,*,一段,仮定縮約１,携われる,タズサワレリャ,タズサワレリャ
騙せる	動詞,自立,*,*,一段,基本形,騙せる,ダマセル,ダマセル
騙せ	動詞,自立,*,*,一段,未然形,騙せる,ダマセ,ダマセ
騙せ	動詞,自立,*,*,一段,連用形,騙せる,ダマセ,ダマセ
騙せれ	動詞,自立,*,*,一段,仮定形,騙せる,ダマセレ,ダマセレ
騙せりゃ	動詞,自立,*,*,一段,仮定縮約１,騙せる,ダマセリャ,ダマセリャ
悩める	動詞,自立,*,*,一段,基本形,悩める,ナヤメル,ナヤメル
悩め	動詞,自立,*,*,一段,未然形,悩める,ナヤメ,ナヤメ
悩め	動詞,自立,*,*,一段,連用形,悩める,ナヤメ,ナヤメ
悩めれ	動詞,自立,*,*,一段,仮定形,悩める,ナヤメレ,ナヤメレ
悩めりゃ	動詞,自立,*,*,一段,仮定縮約１,悩める,ナヤメリャ,ナヤメリャ
映れる	動詞,自立,*,*,一段,基本形,映れる,ウツレル,ウツレル
映れ	動詞,自立,*,*,一段,未然形,映れる,ウツレ,ウツレ
映れ	動詞,自立,*,*,一段,連用形,映れる,ウツレ,ウツレ
映れれ	動詞,自立,*,*,一段,仮定形,映れる,ウツレレ,ウツレレ
映れりゃ	動詞,自立,*,*,一段,仮定縮約１,映れる,ウツレリャ,ウツレリャ
切り返せる	動詞,自立,*,*,一段,基本形,切り返せる,キリカエセル,キリカエセル
切り返せ	動詞,自立,*,*,一段,未然形,切り返せる,キリカエセ,キリカエセ
切り返せ	動詞,自立,*,*,一段,連用形,切り返せる,キリカエセ,キリカエセ
切り返せれ	動詞,自立,*,*,一段,仮定形,切り返せる,キリカエセレ,キリカエセレ
切り返せりゃ	動詞,自立,*,*,一段,仮定縮約１,切り返せる,キリカエセリャ,キリカエセリャ
締めくくれる	動詞,自立,*,*,一段,基本形,締めくくれる,シメククレル,シメククレル
締めくくれ	動詞,自立,*,*,一段,未然形,締めくくれる,シメククレ,シメククレ
締めくくれ	動詞,自立,*,*,一段,連用形,締めくくれる,シメククレ,シメククレ
締めくくれれ	動詞,自立,*,*,一段,仮定形,締めくくれる,シメククレレ,シメククレレ
締めくくれりゃ	動詞,自立,*,*,一段,仮定縮約１,締めくくれる,シメククレリャ,シメククレリャ
盛り上がれる	動詞,自立,*,*,一段,基本形,盛り上がれる,モリアガレル,モリアガレル
盛り上がれ	動詞,自立,*,*,一段,未然形,盛り上がれる,モリアガレ,モリアガレ
盛り上がれ	動詞,自立,*,*,一段,連用形,盛り上がれる,モリアガレ,モリアガレ
盛り上がれれ	動詞,自立,*,*,一段,仮定形,盛り上がれる,モリアガレレ,モリアガレレ
盛り上がれりゃ	動詞,自立,*,*,一段,仮定縮約１,盛り上がれる,モリアガレリャ,モリアガレリャ
活かせる	動詞,自立,*,*,一段,基本形,活かせる,イカセル,イカセル
活かせ	動詞,自立,*,*,一段,未然形,活かせる,イカセ,イカセ
活かせ	動詞,自立,*,*,一段,連用形,活かせる,イカセ,イカセ
活かせれ	動詞,自立,*,*,一段,仮定形,活かせる,イカセレ,イカセレ
活かせりゃ	動詞,自立,*,*,一段,仮定縮約１,活かせる,イカセリャ,イカセリャ
終われる	動詞,自立,*,*,一段,基本形,終われる,オワレル,オワレル
終われ	動詞,自立,*,*,一段,未然形,終われる,オワレ,オワレ
終われ	動詞,自立,*,*,一段,連用形,終われる,オワレ,オワレ
終われれ	動詞,自立,*,*,一段,仮定形,終われる,オワレレ,オワレレ
終われりゃ	動詞,自立,*,*,一段,仮定縮約１,終われる,オワレリャ,オワレリャ
逝ける	動詞,自立,*,*,一段,基本形,逝ける,イケル,イケル
逝け	動詞,自立,*,*,一段,未然形,逝ける,イケ,イケ
逝け	動詞,自立,*,*,一段,連用形,逝ける,イケ,イケ
逝けれ	動詞,自立,*,*,一段,仮定形,逝ける,イケレ,イケレ
逝けりゃ	動詞,自立,*,*,一段,仮定縮約１,逝ける,イケリャ,イケリャ
ゆえる	動詞,自立,*,*,一段,基本形,ゆえる,ユエル,ユエル
ゆえ	動詞,自立,*,*,一段,未然形,ゆえる,ユエ,ユエ
ゆえよ	動詞,自立,*,*,一段,未然ウ接続,ゆえる,ユエヨ,ユエヨ
ゆえ	動詞,自立,*,*,一段,連用形,ゆえる,ユエ,ユエ
ゆえれ	動詞,自立,*,*,一段,仮定形,ゆえる,ユエレ,ユエレ
ゆえよ	動詞,自立,*,*,一段,命令ｙｏ,ゆえる,ユエヨ,ユエヨ
ゆえろ	動詞,自立,*,*,一段,命令ｒｏ,ゆえる,ユエロ,ユエロ
ゆえりゃ	動詞,自立,*,*,一段,仮定縮約１,ゆえる,ユエリャ,ユエリャ
